Question,To a very great extent,To a large extent,To some extent,To a lesser extent,To no extent at all
To what extent do you think the overall programme was well composed?,10,6,0,0,0
"To what extent do you think the scientific level of the programme was suitable for an introductory course? (Please comment, if you do not think the scientific level was suitable)",10,2,4,0,0
To what extent did you find the pre-course material and tasks valuable for your outcome of the course? ,11,5,0,0,0
To what extent were the lectures and code-alongs balanced throuhout the course?,10,5,1,0,0
To what extent were you satisfied with the group work?,7,8,1,0,0
To what extent are you satisfied with the communication (including course information) prior to the course?,13,3,0,0,0
To what extent did you get the required information on time?,12,4,0,0,0
To what extent are you satisfied with the overall organisation of the course?,13,3,0,0,0
